id,mass,timestep,x,y,z,vx,vy,vz,
3785,0.101460447064074,0,14225.5255571664,-2928.42755648887,-242.982037681477,-3.60180128903247,-215.291236840151,-1.51750118377445,
3786,0.816799717263074,0,12108.3935473076,-1879.83102792769,-152.327607759416,-2.71639083627451,-218.510295975721,1.42031014802146,
3787,0.141607079221309,0,14803.3476504684,-3217.24560899906,-256.877357846633,-3.63684843789014,-214.477156553179,-5.99074097828486,
3788,0.0963948185355755,0,15369.3292619765,-3502.67298703754,-284.005796147616,-3.84973743294686,-213.675139006641,14.4588697926196,
3789,0.100509772647943,0,12329.483455775,-1993.67152234346,-160.351025207818,-2.80100339802772,-218.168231156464,-1.50643868584109,
3790,0.829598006904984,0,12089.1358039893,-1875.8030327279,-154.387460622647,-2.75783125193223,-218.532991436923,5.26528707370319,
3791,0.225205638074608,0,13781.0629738965,-2714.39335146805,-216.236597387251,-3.32475018805952,-215.962101387673,14.8350531126649,
3792,0.796956464932732,0,12746.5377001001,-2201.51409376186,-177.260741613945,-2.9808754413239,-217.523582375331,-9.39851813952459,
3793,0.427862066374886,0,13242.1873677157,-2441.43738280532,-200.929090334741,-3.23447222335646,-216.759850898296,-4.00492344697065,
3794,0.177880702055766,0,12210.4957179029,-1933.10584456881,-159.793390959089,-2.82222409291555,-218.344068639556,-1.57511685307654,
3795,0.0958396051536985,0,15134.6416521711,-3385.49245755503,-270.301149532927,-3.72997221954482,-214.009150236862,3.61283896009444,
3796,0.140420723981314,0,10826.5587718396,-1250.97383494595,-100.058400696649,-2.02424125999853,-220.48503382124,10.5926083214743,
3797,0.144275101917723,0,15321.4244142353,-3475.26742212104,-275.75141887454,-3.75178942003001,-213.753865867304,0.96269415932841,
3798,0.388101086635424,0,12801.6809805834,-2230.50753868693,-181.140802949758,-3.03099008401279,-217.434925792052,-1.63232411584645,
3799,0.87055057842632,0,11845.3589239992,-1755.09408274227,-145.450192136603,-2.65898407454926,-218.9098158592,-10.0948025371568,
3800,0.183308543338821,0,10767.5897158921,-1222.3103353245,-99.5455221514802,-2.02614008483684,-220.570065816198,-17.5243897546095,
3801,0.116826574495366,0,11427.3158427982,-1544.73612966386,-124.059748394275,-2.36223682923903,-219.567965562576,7.54391454186715,
3802,0.107683400461824,0,14542.7192716257,-3085.40584156932,-245.238114165223,-3.54423225209265,-214.852580192922,0.877893092931134,
3803,0.0996413119734347,0,13241.8787779763,-2439.37432367697,-196.834369285295,-3.16885503747502,-216.769325894606,-2.75339409849851,
3804,0.126479959807627,0,13504.6489345457,-2573.96344956641,-205.341089276381,-3.23186073758474,-216.375773563682,-4.88316457962865,
3805,0.15275863382916,0,13545.3294948501,-2591.58401777206,-206.362713502939,-3.236864973374,-216.316561759633,-5.02276266201673,
3806,0.121985829358954,0,11801.4294164149,-1734.58004595624,-142.192396438724,-2.61039972679855,-218.980978376122,-3.19246663768877,
3807,0.700962229270062,0,14366.6211620187,-3005.73878576056,-241.336465265237,-3.53674200755892,-215.0987205844,-7.92680202071338,
3808,0.681161550234116,0,13195.8376496948,-2416.76649711664,-196.155490397842,-3.17053189481851,-216.83670138391,-11.9424613090099,
3809,0.153377455128165,0,11388.8912868509,-1527.53767114209,-123.853864127474,-2.36720916098361,-219.624196340611,12.006978865865,
3810,0.12087622605554,0,15301.4712050615,-3458.2835378032,-285.998811696443,-3.89713814933643,-213.7631022857,6.36605226188404,
3811,0.236664422042372,0,12572.6866225994,-2117.00034511911,-173.168824590607,-2.95800250502216,-217.784940112485,-5.75416960526513,
3812,0.409051865667767,0,13901.8482433029,-2775.43564737272,-228.299161143377,-3.47481640674866,-215.76805310873,0.00854426484839436,
3813,0.288159493777456,0,15216.7282753735,-3421.45981051343,-271.845794896455,-3.72821219682513,-213.899158413437,-2.16265067534834,
3814,0.154149480787986,0,12737.7214110869,-2195.34926208204,-181.167645773158,-3.0489388628839,-217.528491624089,-3.16036751268565,
3815,0.106900433287208,0,15451.80286528,-3543.62106592104,-289.740041706014,-3.90312947949134,-213.557114768453,1.44971171464983,
3816,0.184193995739217,0,13360.1461834217,-2505.82617426247,-200.925197757777,-3.20150006196043,-216.589789080421,10.7011607787884,
3817,0.425920744927382,0,14851.6556930463,-3238.96186277747,-264.464888307952,-3.730138822994,-214.39850646446,-17.0510672670403,
3818,1.26924880802902,0,14012.7062155909,-2828.58729884558,-231.946431012662,-3.49828455931754,-215.606589439688,3.61585217784028,
3819,0.087556805962371,0,14178.6207793954,-2912.72340956435,-239.160839354473,-3.55834913962709,-215.361653238586,-0.135638178368786,
3820,1.43731737687439,0,11981.2109364092,-1821.03219962042,-144.774391515766,-2.61278965255178,-218.712045505087,17.1610178164455,
3821,0.20105559362518,0,12854.5195678674,-2256.36633475219,-181.794217480852,-3.02766840328557,-217.35700501426,3.09639709486835,
3822,0.253886069219846,0,13499.6530578767,-2572.62586628267,-204.183637367082,-3.21498613410141,-216.384950743074,-0.69031833288577,
3823,0.0842838984517844,0,11153.0743659615,-1410.44602499817,-112.995476070609,-2.21117589681712,-219.989596183192,1.07757524981084,
3824,0.299941110924651,0,12470.83775349,-2058.82228347627,-167.464890185788,-2.88762518794959,-217.947462492572,-11.1705732559071,
3825,0.158755951763247,0,13444.712351972,-2548.55763806448,-206.886638549999,-3.27255037503443,-216.456740543716,5.06432608627953,
