id,mass,timestep,x,y,z,vx,vy,vz,
3174,54.146949,0,9593.74420760616,-641.556077701703,-51.9337824420219,-0.69011692622114,-220.114195140336,9.86153070733096,
3175,8.470084,0,9594.29530264528,-640.318160902339,-51.639238330562,0.132851982636806,-220.341970870681,10.456893528925,
3176,8.009735,0,9594.68060793889,-640.511341104923,-51.8224591563559,-0.106316134648107,-220.231175674533,10.1588612559172,
3177,5.636098,0,9593.16432220741,-640.232875956754,-52.6510583766597,0.136913041677613,-219.518601803386,10.7966771806514,
3178,4.4838,0,9593.60988951965,-640.039460842211,-52.1856754208584,-0.476352926631584,-220.174930736655,9.69832898889195,
3179,4.214344,0,9593.743966342,-639.98665977246,-51.8351734214038,1.01659621756892,-219.934839350869,9.19485036849713,
3180,3.943606,0,9594.46209312665,-639.725037543188,-51.672183626544,0.759821394108419,-219.828624821477,9.47463987277582,
3181,3.743817,0,9594.75568355083,-640.593007121419,-52.0398566614372,0.013101510101293,-220.48913710504,10.5618691598946,
3182,3.560987,0,9593.61053020911,-639.484932564512,-51.7460980820179,0.391850276928201,-220.382763509846,9.15356289154019,
3183,3.487977,0,9595.03151805744,-639.601145825401,-51.2340139737701,0.23278314550105,-219.914895813401,9.68324298941987,
3184,3.307806,0,9594.48556787291,-639.757884522483,-52.1371864545407,-0.772870463851634,-220.833763463274,10.4544189409965,
3185,3.182891,0,9594.65244045135,-639.779413989969,-52.4458721184061,0.37453747641337,-219.285979744227,9.24677232133844,
3186,3.129845,0,9593.5499847873,-639.780464637438,-52.3103586351456,0.154029932606846,-219.417890919224,9.71769917236893,
3187,3.012846,0,9593.34025511635,-639.619538821855,-52.2228592739724,-0.380020655935769,-220.114557099033,10.3387630109556,
3188,2.711722,0,9594.172887881,-639.466286388931,-51.7543968964661,0.0447607957969811,-220.331308232294,9.88621737380629,
3189,2.509791,0,9593.69963605493,-639.691834022482,-51.7058844521954,0.0207332986481891,-219.603892674658,10.1780549019493,
3190,2.445427,0,9593.82521015401,-637.946948401052,-51.2731896347872,0.325843223475434,-220.410096230172,9.4028227521534,
3191,2.37107,0,9593.98117877607,-640.132309469671,-51.9287667511536,-0.577753840177494,-219.108804074672,10.6946546672565,
3192,2.329507,0,9594.39415980016,-639.878318110083,-51.4312958899523,0.977486777931061,-221.053693146587,10.068044710832,
3193,2.256809,0,9593.75721742095,-638.503591361542,-51.864988301398,-0.199958824417012,-220.368503868112,10.374306811911,
3194,2.226374,0,9594.14735275646,-639.796653759333,-52.1871227022434,0.843274385974796,-220.757697031027,9.77806640069822,
3195,2.151388,0,9593.83659146586,-638.931128205783,-52.3784709569978,0.16696758427863,-219.541929984749,9.88114815895113,
3196,2.143897,0,9594.18927919324,-640.142983150023,-51.1897477839734,-0.531030639675441,-220.362194010219,10.0015434506402,
3197,2.137229,0,9593.78709907824,-639.511129225839,-52.1555336190788,0.299654407591235,-219.807400782754,9.90304953626752,
